Run,Price,Std,Time (Train),Time (Price)
0,15.5745,0.0115,26.5,188.0
1,15.5508,0.0116,27.4,189.5
2,15.5423,0.0118,27.4,190.1
3,15.5588,0.0117,27.4,190.0
4,15.5422,0.0119,27.3,237.2
5,15.5553,0.0114,33.0,202.8
6,15.5634,0.0119,33.0,195.1
7,15.5424,0.0119,33.4,192.1
8,15.5587,0.012,29.1,188.4
9,15.5208,0.0123,29.5,190.1
Mean,15.5509,0.0118,29.4,196.3
Std,0.0141,0.0003,2.6,14.3
Batch size,512.0,,,
# Iterations,3000.0,,,
# MC Simulations,4194304.0,,,
Mu,0.006931471805599453,,,
Epsilon,0.10125907510519028,,,
Cutoff,2.0,,,
